"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32100","checkAssigningDepToFIFOItem","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAssigningDepToFIFOItem"
"","14587","checkAccountDependencyAndClickOnUpdate","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAccountDependencyAndClickOnUpdate"
"","33702","verifyLoginScreenTitleByInputUrl","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.URLBrowserTest","Test","com.focus.testcases.URLBrowserTest","verifyLoginScreenTitleByInputUrl"
"","2392","checkDisplayStatusOFDocumentTABInVoucherWizard","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkDisplayStatusOFDocumentTABInVoucherWizard"
"","5985","checkAccountDependencyValues","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAccountDependencyValues"
"","27483","checkValidationAtSalesInvoiceVATvoucher","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkValidationAtSalesInvoiceVATvoucher"
"","8962","checkLogoutVoucherOptionsPage","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkLogoutVoucherOptionsPage"
"","11658","checkSalesInvoiceVATValidationDepartmentAsRMAItemWhichIsNotAddedDepency","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkSalesInvoiceVATValidationDepartmentAsRMAItemWhichIsNotAddedDepency"
"","14991","checkItemDependencyListUnderDocumentTAB","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkItemDependencyListUnderDocumentTAB"
"","20548","checkVouherLevelValidationAfterAddingItemDependency","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkVouherLevelValidationAfterAddingItemDependency"
"","33239","checkAssigningAccountFilterUnderSalesinvoiceVAT","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAssigningAccountFilterUnderSalesinvoiceVAT"
"","65838","checkSavingMastertypeFieldInItemMaster","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkSavingMastertypeFieldInItemMaster"
"","33605","checkDocumentTABUnderVoucherWizard","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkDocumentTABUnderVoucherWizard"
"","44992","checkValidationInSalesInvoiceVAT","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkValidationInSalesInvoiceVAT"
