,,,Testing 22
,,,CUBE RD
,,,[As on date 22/06/2026]
Particulars,Item.Name,Quantity,Rate,Gross,Voucher name
1,,,,,
   21/11/2020,RMA1,2.00,3.00,6.00,Delivery Notes
   05/01/2023,item1,10.00,3.60,36.00,New SI
   18/04/2023,item2,1.00,8.00,8.00,Material Receipt Notes
   19/04/2023,RMA1,1.00,6.00,6.00,Purchases Returns
   20/04/2023,Batch,57.50,6.00,172.50,Purchases Vouchers
   27/04/2023,item1,20.00,3.00,60.00,Sales Invoices
   25/05/2023,RMA1,,6.00,,Stock Transfers
   05/09/2023,ZARA-TOP,199.00,9.00,1791.00,New Sales Invoice
   26/09/2023,item1,5.00,5.00,12.00,New PR
   26/12/2023,RMA3,10.00,11.00,1.00,Excesses in Stocks
2,,,,,
   10/02/2023,item3,15.00,3.00,45.00,New SI
   10/04/2023,RMA1,1.00,3.00,3.00,Purchases Returns
   18/04/2023,item4,1.00,2.00,2.00,Material Receipt Notes
   04/05/2023,item2,15.00,9.00,68.00,Sales Invoices
   25/05/2023,RMA1,,6.00,,Stock Transfers
   17/07/2023,RMA1,1.00,2.00,2.00,Delivery Notes
   26/12/2023,RMA3,,11.00,1.00,Excesses in Stocks
   27/12/2023,item2,15.00,,,Sales Returns
3,,,,,
   18/04/2023,item4,1.00,2.00,2.00,Material Receipt Notes
   20/04/2023,item2,15.00,9.00,135.00,New SI
   21/04/2023,item3,5.00,3.00,15.00,Purchases Returns
   04/05/2023,item2,2.00,6.00,12.00,Sales Invoices
   17/07/2023,RMA1,1.00,2.00,2.00,Delivery Notes
   26/09/2023,item1,15.00,5.00,40.00,New Pv
   27/12/2023,item3,25.00,11.00,140.00,New PR
   22/01/2024,item3,5.00,6.00,30.00,Sales Returns
4,,,,,
   18/04/2023,item4,1.00,2.00,2.00,Material Receipt Notes
   04/05/2023,item3,4.00,5.00,20.00,Sales Invoices
   25/05/2023,RMA1,,6.00,,Stock Transfers
   31/05/2023,item1,35.00,9.00,165.00,Purchases Returns
   18/07/2023,item4,9.00,8.00,72.00,New SI
   27/07/2023,RMA1,1.00,5.00,5.00,Delivery Notes
   26/09/2023,item1,25.00,5.00,60.00,New Pv
5,,,,,
   18/04/2023,item2,1.00,5.00,5.00,Material Receipt Notes
   24/04/2023,item1,10.00,3.00,30.00,Sales Invoices
   14/06/2023,item1,57.50,13.00,522.50,Purchases Returns
   17/09/2023,item1,10.00,3.60,36.00,New SI
   26/09/2023,item1,15.00,6.00,45.00,New Pv
   08/11/2023,RMA2,1.00,6.00,6.00,Delivery Notes
6,,,,,
   18/04/2023,item4,1.00,2.00,2.00,Material Receipt Notes
   02/05/2023,item3,22.00,13.29,143.35,Sales Invoices
   28/08/2023,item2,10.00,6.00,60.00,Purchases Returns
   07/11/2023,RMA3,2.00,6.00,12.00,New Pv
   16/11/2023,RMA2,1.00,5.00,5.00,Delivery Notes
7,,,,,
   21/11/2020,RMA1,1.00,5.00,5.00,Delivery Notes
   18/04/2023,item4,1.00,2.00,2.00,Material Receipt Notes
   01/05/2023,item3,6.00,6.00,36.00,Sales Invoices
   13/06/2023,RMA1,,4.00,,Stock Transfers
   08/11/2023,item3,13.00,4.00,52.00,Purchases Returns
   20/11/2023,item1,5.00,8.00,40.00,New Pv
8,,,,,
   21/11/2020,RMA1,2.00,6.00,12.00,Delivery Notes
   18/04/2023,item1,1.00,3.00,3.00,Material Receipt Notes
   01/05/2023,item4,2.00,8.00,16.00,Sales Invoices
   31/08/2023,RMA1,,10.00,,Stock Transfers
   08/11/2023,item2,10.00,6.00,60.00,Purchases Returns
   20/11/2023,item2,4.00,1.00,4.00,New Pv
9,,,,,
   18/04/2023,item4,1.00,2.00,2.00,Material Receipt Notes
