,,,,,,Testing 22
,,,,,,RD Detail
,,,,,,[As on date 05/06/2026]
DocNo,Date,Account.Name,Account2.Name,Voucher name,Item.Name,Quantity,Rate,Gross,Department.Name,Warehouse.Name,T1,T2
Focus_3,20/11/2020,,,Opening Stocks,RMA1,12.00,6.00,72.00,,wh4,,12.00
Focus_19,20/11/2020,,,Opening Stocks,RMA3,1.00,5.00,5.00,,wh1,,1.00
Focus_6,20/11/2020,,,Opening Stocks,item1,10.00,5.00,50.00,,wh3,,10.00
Focus_20,20/11/2020,,,Opening Stocks,RMA1,1.00,5.00,5.00,,wh1,,1.00
Focus_21,20/11/2020,,,Opening Stocks,RMA3,1.00,6.00,6.00,,wh4,,1.00
Focus_18,20/11/2020,,,Opening Stocks,RMA3,1.00,6.00,6.00,,wh2,,1.00
Focus_18,20/11/2020,,,Opening Stocks,RMA2,5.00,3.00,15.00,,wh2,,5.00
Focus_12,20/11/2020,,,Opening Stocks,RMA2,2.00,3.00,6.00,,wh4,,2.00
Focus_5,20/11/2020,,,Opening Stocks,RMA2,1.00,3.00,3.00,,wh3,,1.00
Focus_11,20/11/2020,,,Opening Stocks,RMA1,2.00,6.00,12.00,,wh4,,2.00
Focus_11,20/11/2020,,,Opening Stocks,RMA2,2.00,3.00,6.00,,wh4,,2.00
Focus_11,20/11/2020,,,Opening Stocks,RMA3,2.00,4.00,8.00,,wh4,,2.00
Focus_2,20/11/2020,,,Opening Stocks,RMA1,5.00,3.00,15.00,,wh2,,5.00
Focus_2,20/11/2020,,,Opening Stocks,RMA2,3.00,6.00,18.00,,wh2,,3.00
Focus_17,20/11/2020,,,Opening Stocks,RMA2,5.00,6.00,30.00,,wh1,,5.00
Focus_17,20/11/2020,,,Opening Stocks,RMA3,1.00,6.00,6.00,,wh1,,1.00
Focus_22,20/11/2020,,,Opening Stocks,RMA3,1.00,5.00,5.00,,wh5,,1.00
Focus_22,20/11/2020,,,Opening Stocks,RMA2,10.00,3.00,30.00,,wh5,,10.00
Focus_16,20/11/2020,,,Opening Stocks,RMA3,12.00,5.00,60.00,,wh5,,12.00
Focus_16,20/11/2020,,,Opening Stocks,RMA2,1000.00,45.00,45000.00,,wh5,,1000.00
Focus_16,20/11/2020,,,Opening Stocks,RMA1,1.00,5.00,5.00,,wh5,,1.00
Focus_29,20/11/2020,,,Opening Stocks,item1,15.00,32.00,480.00,,wh4,,15.00
Focus_29,20/11/2020,,,Opening Stocks,RMA2,5.00,6.00,30.00,,wh4,,5.00
Focus_29,20/11/2020,,,Opening Stocks,RMA3,3.00,9.00,27.00,,wh4,,3.00
Focus_28,20/11/2020,,,Opening Stocks,RMA2,15.00,6.00,90.00,,wh6,,15.00
Focus_28,20/11/2020,,,Opening Stocks,RMA3,55.00,3.00,165.00,,wh6,,55.00
Focus_4,20/11/2020,,,Opening Stocks,RMA1,10.00,6.00,60.00,,wh1,,10.00
Focus_24,20/11/2020,,,Opening Stocks,RMA3,1.00,3.00,3.00,,wh3,,1.00
